frame,det_idx,class_id,confidence,x1,y1,x2,y2,latency_ms
36,8,0,0.250300,20.51,240.05,356.85,385.23,82.601
37,0,1,0.530741,164.00,0.00,251.42,236.65,84.275
38,0,2,0.959263,123.56,107.31,275.34,280.80,95.230
39,0,3,0.840456,0.00,24.26,400.00,400.00,82.528
39,1,3,0.684984,1.63,234.88,400.00,400.00,82.528
40,0,4,0.458320,260.04,257.67,399.07,400.00,85.862
40,1,4,0.388619,266.39,88.93,397.10,309.59,85.862
40,2,4,0.314989,244.21,0.25,398.10,158.50,85.862
40,3,4,0.250047,207.04,0.00,396.24,291.44,85.862
41,0,5,0.942644,275.80,0.00,352.65,398.24,85.500
41,1,5,0.925355,129.76,0.00,161.25,375.47,85.500
41,2,5,0.864431,269.93,101.99,398.38,293.34,85.500
41,3,5,0.787758,268.80,202.90,398.44,304.66,85.500
41,4,5,0.583720,293.84,2.70,345.81,229.54,85.500
41,5,5,0.528287,265.77,264.57,398.45,360.71,85.500
41,6,5,0.496700,127.85,125.29,397.24,338.62,85.500
41,7,5,0.464574,129.27,201.96,158.16,395.98,85.500
41,8,5,0.416707,133.30,247.18,400.00,391.34,85.500
41,9,5,0.350706,118.69,90.22,159.09,283.87,85.500
41,10,5,0.349397,273.50,302.44,399.59,388.24,85.500
41,11,5,0.264036,295.03,0.32,389.58,140.45,85.500
41,12,5,0.257666,133.74,0.27,168.09,176.04,85.500
42,0,0,0.328062,10.81,95.11,399.21,194.43,79.979
42,1,0,0.280821,38.72,36.71,399.12,158.28,79.979
43,0,1,0.465560,359.76,14.39,400.00,148.75,83.142
43,1,1,0.268320,31.50,265.46,76.12,361.20,83.142
44,0,2,0.706223,134.91,0.90,296.43,367.45,83.723
45,0,3,0.965992,0.00,2.24,400.00,400.00,77.736
45,1,3,0.701931,0.00,236.23,400.00,400.00,77.736
45,2,5,0.494395,0.00,3.24,50.92,400.00,77.736
46,0,4,0.893349,59.47,8.58,277.01,234.46,80.807
46,1,4,0.752206,1.13,63.51,195.65,234.93,80.807
46,2,4,0.599909,0.00,0.00,229.65,129.03,80.807
46,3,4,0.588735,237.13,172.73,397.97,395.46,80.807
46,4,4,0.505755,172.06,0.08,391.53,102.66,80.807
46,5,4,0.438032,138.88,0.52,309.42,155.98,80.807
46,6,4,0.403620,0.00,136.23,177.58,400.00,80.807
46,7,4,0.357144,62.85,59.73,316.84,351.60,80.807
47,0,5,0.983286,61.49,148.74,400.00,212.20,82.787
47,1,5,0.916186,223.17,19.73,400.00,262.78,82.787
47,2,5,0.865490,26.35,86.64,400.00,247.21,82.787
47,3,5,0.659174,187.35,131.71,399.61,198.43,82.787
47,4,5,0.655278,107.64,0.00,136.51,376.81,82.787
47,5,5,0.601009,234.64,0.00,365.42,152.48,82.787
47,6,5,0.538257,161.75,124.55,400.00,286.20,82.787
47,7,5,0.357634,108.83,0.57,137.65,162.20,82.787
47,8,5,0.265965,210.38,159.73,400.00,192.88,82.787
48,0,0,0.619988,5.48,224.54,399.09,363.77,77.374
48,1,0,0.553856,17.52,293.95,398.67,399.07,77.374
48,2,0,0.436311,0.78,186.48,399.33,299.20,77.374
48,3,0,0.294604,67.11,228.15,289.64,336.78,77.374
48,4,0,0.281804,0.00,94.25,399.13,195.35,77.374
48,5,0,0.267666,0.04,16.31,398.63,154.59,77.374
49,0,1,0.569199,162.57,0.00,214.55,398.51,77.697
50,0,2,0.781904,304.24,200.32,398.73,394.61,79.752
50,1,2,0.734831,0.71,1.05,152.84,259.08,79.752
50,2,2,0.711966,318.35,0.63,400.00,165.05,79.752
50,3,2,0.572509,120.52,268.76,241.34,400.00,79.752
50,4,2,0.409303,166.31,23.31,245.59,161.79,79.752
51,0,3,0.340407,10.29,0.00,400.00,400.00,80.905
52,0,4,0.591522,31.36,0.00,198.32,213.09,80.745
52,1,4,0.403156,119.07,282.05,260.18,399.91,80.745
52,2,4,0.310159,61.70,86.22,195.54,205.48,80.745
53,0,5,0.981678,201.74,0.13,400.00,68.62,75.512
53,1,5,0.981118,16.97,321.19,399.28,399.67,75.512
53,2,5,0.980341,2.55,30.67,162.20,70.30,75.512
53,3,5,0.710677,3.70,0.48,400.00,76.14,75.512
53,4,5,0.511063,194.14,0.00,361.52,33.58,75.512
53,5,5,0.269686,168.44,315.28,398.75,380.98,75.512
54,0,0,0.296292,5.35,75.61,398.26,166.16,81.395
54,1,2,0.280102,203.72,0.07,262.00,20.05,81.395
54,2,0,0.254543,17.61,104.85,398.29,213.50,81.395
55,0,1,0.300087,226.05,106.41,314.73,315.34,93.179
56,0,2,0.948480,43.36,1.27,161.40,398.41,78.944
56,1,2,0.498830,337.57,135.59,400.00,391.68,78.944
57,0,3,0.976552,0.00,0.00,400.00,400.00,78.927
57,1,3,0.335128,3.97,219.14,400.00,400.00,78.927
57,2,3,0.269470,222.98,0.83,398.58,400.00,78.927
58,0,4,0.470493,66.30,315.54,141.83,399.21,81.500
58,1,4,0.453134,12.33,1.35,176.37,122.57,81.500
58,2,4,0.353013,2.47,9.75,162.85,238.66,81.500
58,3,4,0.326791,240.85,261.97,396.87,399.73,81.500
58,4,4,0.265368,232.62,88.75,395.92,349.34,81.500
59,0,5,0.990186,1.00,329.18,352.30,400.00,82.255
59,1,5,0.956600,123.32,350.21,398.58,400.00,82.255
59,2,5,0.584810,0.27,351.59,218.51,400.00,82.255
59,3,5,0.514809,179.43,368.90,371.66,400.00,82.255
59,4,3,0.405633,0.00,0.53,400.00,400.00,82.255
60,0,0,0.400264,10.25,287.69,250.50,398.92,81.791
60,1,0,0.335797,3.62,249.19,323.07,367.71,81.791
60,2,0,0.294270,2.01,108.04,340.74,218.55,81.791
60,3,0,0.272540,72.87,291.38,395.18,396.30,81.791
61,0,1,0.743569,306.39,0.00,376.67,269.77,77.794
61,1,1,0.348195,323.46,294.66,357.70,362.30,77.794
61,2,1,0.294063,0.20,0.53,77.91,299.16,77.794
62,0,2,0.878875,99.82,0.00,293.60,400.00,84.636
63,0,3,0.770832,1.09,0.00,400.00,400.00,81.267
64,0,4,0.420081,198.55,261.97,330.95,397.23,82.485
64,1,4,0.313485,195.20,0.69,291.87,99.81,82.485
64,2,4,0.261340,61.64,231.66,317.96,399.23,82.485
65,0,5,0.974114,48.88,66.54,131.34,263.01,77.729
65,1,5,0.971954,52.80,7.74,121.50,142.33,77.729
65,2,5,0.965156,153.52,0.00,188.24,390.44,77.729
65,3,5,0.962210,50.97,127.54,140.76,204.43,77.729
65,4,5,0.859163,160.01,2.77,193.49,202.67,77.729
65,5,5,0.853739,47.81,185.97,128.66,298.12,77.729
65,6,5,0.845092,360.17,1.23,397.21,200.69,77.729
65,7,5,0.714309,50.54,240.13,127.19,322.98,77.729
65,8,5,0.612577,53.80,1.19,201.15,110.68,77.729
65,9,5,0.577742,329.53,4.21,394.34,400.00,77.729
65,10,5,0.548538,154.86,190.59,184.31,398.16,77.729
65,11,5,0.386022,56.76,255.84,151.20,389.85,77.729
65,12,5,0.348635,247.49,0.00,399.13,400.00,77.729
65,13,5,0.257715,313.91,71.75,372.26,358.66,77.729
66,0,0,0.654603,1.28,194.37,397.79,288.10,78.494
66,1,0,0.595017,2.81,223.65,397.18,338.43,78.494
66,2,0,0.537815,4.57,290.49,400.00,399.56,78.494
66,3,0,0.488969,0.00,147.88,398.64,256.54,78.494
66,4,0,0.400155,177.97,208.14,399.35,307.63,78.494
66,5,0,0.314808,131.47,252.70,396.39,377.27,78.494
66,6,0,0.250612,0.86,111.54,399.76,213.34,78.494
67,0,1,0.526499,146.23,199.10,243.35,397.90,75.846
67,1,1,0.338009,202.93,180.28,236.92,250.94,75.846
68,0,2,0.630891,246.83,0.00,399.92,294.75,86.293
68,1,2,0.428894,0.00,7.18,126.50,245.55,86.293
69,0,3,0.970253,0.00,0.00,400.00,400.00,79.029
69,1,3,0.367132,0.00,233.58,400.00,400.00,79.029
69,2,3,0.305510,214.91,0.00,400.00,400.00,79.029
70,0,4,0.897656,1.18,0.70,162.52,135.21,83.008
70,1,4,0.368720,300.40,182.82,397.35,392.88,83.008
70,2,4,0.252895,26.36,0.00,179.32,252.73,83.008
71,0,5,0.999689,39.90,19.77,400.00,80.55,81.717
71,1,5,0.991487,146.55,259.03,398.00,307.95,81.717
71,2,5,0.984949,1.23,1.13,246.54,77.35,81.717
71,3,5,0.930321,19.03,251.15,255.74,303.27,81.717
71,4,5,0.917770,0.00,254.62,162.98,293.45,81.717
71,5,5,0.881577,210.73,37.03,400.00,70.68,81.717
71,6,5,0.868810,0.34,30.53,227.59,109.68,81.717
71,7,5,0.705917,89.79,36.68,305.23,73.09,81.717
71,8,5,0.462194,3.86,232.62,386.37,300.49,81.717
71,9,5,0.352467,154.36,0.17,400.00,62.02,81.717
71,10,5,0.262730,0.00,76.02,108.74,109.88,81.717
72,0,0,0.418087,4.03,290.06,280.65,398.97,83.465
72,1,0,0.399055,13.98,139.63,241.95,242.72,83.465
72,2,0,0.357198,2.40,115.61,400.00,248.94,83.465
72,3,0,0.287639,9.60,82.19,261.13,218.20,83.465
72,4,0,0.275074,0.00,344.35,397.81,398.42,83.465
72,5,0,0.267591,15.37,173.58,399.52,301.15,83.465
72,6,0,0.258703,0.00,244.87,399.86,363.40,83.465
73,0,1,0.539717,192.52,18.91,262.42,400.00,81.567
74,0,2,0.533881,145.63,0.00,249.86,125.80,84.590
74,1,0,0.313715,0.00,304.40,400.00,400.00,84.590
75,0,3,0.806032,0.00,44.52,400.00,400.00,77.718
75,1,3,0.579156,0.00,234.39,399.67,399.92,77.718
76,0,4,0.742183,23.08,0.00,224.35,266.56,81.074
76,1,4,0.435719,101.25,80.52,236.50,260.24,81.074
77,0,5,0.860599,205.21,0.00,239.73,400.00,80.881
77,1,5,0.715016,198.31,116.96,234.52,356.96,80.881
77,2,5,0.393830,212.72,0.00,250.01,179.30,80.881
78,0,0,0.580725,96.12,287.24,363.10,399.24,77.448
78,1,0,0.349053,3.55,14.02,320.96,151.51,77.448
78,2,0,0.334493,103.11,51.23,384.81,182.93,77.448
78,3,0,0.275206,5.18,69.08,298.33,193.87,77.448
79,-1,,,,,,,78.413
80,0,2,0.747581,71.91,208.41,243.97,336.70,82.258
80,1,2,0.393338,51.11,89.64,150.84,178.47,82.258
80,2,2,0.382248,1.56,0.00,150.98,176.72,82.258
81,0,3,0.975776,0.00,0.00,400.00,400.00,82.475
81,1,3,0.375598,18.79,244.18,398.45,399.52,82.475
82,0,4,0.799161,283.60,2.16,400.00,147.34,83.087
83,0,5,0.959467,234.01,7.37,294.08,279.50,82.030
83,1,5,0.871759,243.37,4.64,294.01,149.63,82.030
83,2,5,0.781381,38.21,0.00,112.05,384.07,82.030
83,3,5,0.456768,256.52,288.89,291.99,399.72,82.030
83,4,5,0.450419,32.82,100.34,83.46,357.50,82.030
83,5,5,0.252003,56.78,1.42,120.12,184.55,82.030
84,0,0,0.491715,5.22,222.26,396.52,332.03,79.132
84,1,0,0.471758,10.22,288.38,397.38,399.36,79.132
84,2,0,0.371300,153.04,245.31,392.74,355.04,79.132
84,3,0,0.368206,0.31,165.66,399.85,283.67,79.132
84,4,0,0.312160,13.46,128.78,397.64,229.63,79.132
84,5,0,0.300437,175.79,204.51,399.45,313.29,79.132
84,6,0,0.293794,2.43,9.68,205.22,138.55,79.132
85,0,1,0.336466,66.75,0.00,192.21,400.00,100.321
86,0,2,0.873088,0.00,0.00,180.49,394.37,80.978
86,1,2,0.252355,1.24,2.08,177.32,174.37,80.978
87,0,3,0.861896,1.87,0.00,400.00,400.00,87.415
88,0,4,0.462701,33.31,257.11,134.33,400.00,78.205
89,0,5,0.400997,81.74,169.71,208.29,208.94,81.855
89,1,1,0.351007,49.38,160.25,230.53,229.00,81.855
89,2,1,0.272191,335.24,1.18,399.33,372.31,81.855
